yr,mo,avg_price,min_price,max_price
2004,1,6343.238383366572,6100.149006869399,6517.199628634426
2004,2,6170.047654535942,6047.743359666997,6345.364771611817
2004,3,6178.213071196,5996.098613719081,6348.532139133103
2004,4,5979.365443698986,5765.125063954116,6265.556718870718
2004,5,5859.5724050398085,5721.862354167502,6050.417300706101
2004,6,6026.557107154772,5841.4925557978695,6229.180085596747
2004,7,6183.953408356463,6037.2826285211,6324.846589626625
2004,8,6274.108508049016,6121.820663327296,6438.717254571461
2004,9,6302.972073998176,6213.821865242147,6466.581917460689
2004,10,6480.586068709887,6379.998795160299,6574.00503315402
2004,11,6645.934525615999,6429.28432907533,6822.48014373512
2004,12,6539.0671616167265,6401.911189343141,6756.000061785746
2005,1,6247.703536464052,6200.829893849003,6292.397533518973
2005,2,6238.8325738802005,6061.938883548576,6413.119295076608
2005,3,6392.530483605804,6258.785433632398,6527.30448564158
2005,4,6324.968162437941,6243.510972407396,6441.172943892808
2005,5,6195.057926032829,6114.224194937979,6306.799877827254
2005,6,6334.450113823288,6137.579685008628,6474.583673402511
2005,7,6219.722764307895,6157.5502746327875,6291.661414129363
2005,8,6427.369002244529,6323.702218897698,6545.33797376378
2005,9,6738.480858879955,6542.696204288119,6970.782351796074
2005,10,7061.734773737447,6899.5931954687185,7181.124813928479
2005,11,7272.713749324903,6937.838008804023,7649.2629121346245
2005,12,7766.234923075096,7448.487870413844,8112.616046957826
2006,1,8126.823902743663,7858.576845380056,8356.36675457199
2006,2,8192.823959376989,7950.859492484361,8428.217053593144
2006,3,8261.629881115345,8016.2297836132675,8686.413749444502
2006,4,9123.181608104587,8702.783965095556,9709.382187990264
2006,5,10080.155006311812,9655.268762164056,10672.28454457387
2006,6,9090.180593290559,8583.500335677172,9746.32493253372
2006,7,9760.68701451238,9528.469435948145,10228.650102141733
2006,8,9703.15243774747,9409.205388897335,10041.475674681658
2006,9,9152.198975494006,8833.652033086577,9774.396907762182
2006,10,8838.92827027834,8545.11195937728,9084.625131435509
2006,11,9319.214272969637,9141.471124161306,9565.851797634527
2006,12,9288.050249522446,9093.905528826168,9538.597629326905
2007,1,9243.024701722716,8884.335109693457,9524.447633356738
2007,2,9724.570501456292,9427.846841589078,10033.077212112963
2007,3,9501.015679080585,9382.08156706315,9710.84112545787
2007,4,9475.800087110281,9137.591639574097,9635.596696424178
2007,5,9025.073105557813,8770.058230793577,9302.716904818539
2007,6,8830.12894633029,8713.040090956181,9013.47739840407
2007,7,8922.405080808592,8720.955610468285,9146.7443354112
2007,8,8992.586537602643,8865.142324475939,9090.851692927843
2007,9,9527.977758576284,9234.0388072536,9751.126105942469
2007,10,9863.184883612515,9519.565417864496,10275.021406211696
2007,11,10468.085742114452,10078.836006813226,10839.253054448161
2007,12,10521.285947728542,10308.228287017148,10893.695289945052
2008,1,11550.34881241751,11137.203182343033,12012.634219003861
2008,2,12098.40704751036,11536.562461590445,12773.358264280252
2008,3,12719.21272521597,12049.900246276418,13298.705977069727
2008,4,11988.986636282627,11502.932684809191,12402.298960577002
2008,5,12339.079634677906,11443.185826070583,13016.047714498067
2008,6,12520.10547599616,12246.382818430147,13062.245123660226
2008,7,13210.298150007788,12611.441574638031,13851.409097346408
2008,8,11914.9677677031,11845.19102540012,11960.67720144892
2008,9,12435.448737349965,11117.948460292007,13654.265040472625
2008,10,12778.545124616892,11671.382398015887,14222.434619369622
2008,11,12146.65729532219,11403.758722732984,13417.881834975951
2008,12,13124.732862838546,12259.114342073728,13954.48634819174
2009,1,13782.934047492821,12923.045032554013,14828.947510683985
2009,2,15194.932799296266,14225.611895311307,16104.112912022967
2009,3,15502.99380699413,14937.613522128258,15918.320242045693
2009,4,14628.74116287952,14141.14263193782,15349.068557475577
2009,5,14778.846383366854,14337.91187193374,15144.837716401993
2009,6,14796.257964163546,14548.012190393692,15167.766528960427
2009,7,14847.056148605923,14572.617112764876,15144.641133198842
2009,8,15032.424543252533,14794.547459976746,15231.212205436274
2009,9,15803.164488692095,15281.271211874859,16071.845767246892
2009,10,15955.287218217416,15640.437559413296,16171.867095584737
2009,11,17126.623848755116,16150.023418231931,17941.59753147953
2009,12,17186.375311016414,16618.01887247416,18304.53361295252
2010,1,16780.374180968407,16350.969677783041,17099.705137491208
2010,2,16625.060829412374,16071.074187715856,16948.17033358832
2010,3,16565.79712338616,16189.67175805723,17124.22691496093
2010,4,16730.389627618173,16433.05807846914,17088.922121201067
2010,5,18008.396642819403,17038.028845879882,18672.99032213601
2010,6,18732.884281094648,18364.189647630592,19029.892866665177
2010,7,18181.42732313493,17667.3003429727,18403.832392167566
2010,8,18488.8379952808,17835.178293725763,19111.892410868262
2010,9,19108.083978899085,18826.559791354604,19257.905022444418
2010,10,19444.760472069065,19082.728283272045,19925.72573666265
2010,11,20030.684181139935,19301.01915894506,20694.167519195224
2010,12,20487.942207837434,20079.526419856287,20773.416772257042
2011,1,20125.97073729397,19565.125183814856,20798.685625277703
2011,2,20335.71080474323,19739.424758252037,20861.98817905016
2011,3,20832.876923083353,20425.506764530473,21045.114091589912
2011,4,21401.33563338248,20708.97166053619,22461.74990366557
2011,5,22058.678645314234,21401.640853954195,22620.766825841438
2011,6,22300.380704712752,21919.09356309937,22647.26075402521
2011,7,22786.44984228847,21551.69317305718,23339.68441361204
2011,8,25888.259494460184,23308.553882093394,28027.973530209456
2011,9,27180.382445817642,25563.62792567945,28124.29897938685
2011,10,26714.63203761025,25698.81926182344,28252.89828075344
2011,11,28567.280164672262,27074.962166435078,29427.4892815684
2011,12,27901.89737458289,26470.40404790706,29160.761885807573
2012,1,28000.46882526361,27200.347336071463,29915.21365006883
2012,2,28117.88448354299,27487.51052988849,28816.56232638826
2012,3,27883.431073177617,26840.289217502042,28837.079195628485
2012,4,28496.679906626454,27089.813220942277,29220.94805637907
2012,5,28767.234163740475,27628.4935830224,29378.155939304233
2012,6,29970.159961279598,29209.31358300078,30452.71988034005
2012,7,29514.605615944558,28931.450116285145,30325.519118098302
2012,8,30257.512819547297,29441.026980140858,31333.889000398573
2012,9,31902.285603413235,31232.77352986801,32794.35720163501
2012,10,30932.123348293997,30540.922994024793,31462.59995462243
2012,11,31530.050061767204,30033.052620182483,32432.823021100263
2012,12,30759.283607858,30001.4620114383,31197.176091883444
2013,1,30920.406201619462,30165.692156706176,31504.90196766488
2013,2,29806.906661539346,28958.17919734698,30379.122724065608
2013,3,29512.05745366883,29122.250344814962,29891.37299751663
2013,4,27508.554334155502,25277.094333910965,29596.50450687825
2013,5,26476.20436577499,25480.245944341998,27188.584428802646
2013,6,26969.079030500958,25471.061014774445,28062.908434349287
2013,7,26654.87796854299,25342.858098685578,27710.31312749356
2013,8,30048.311924047197,27626.825990482466,33653.671110071235
2013,9,30427.793876352272,29172.14089789653,33725.190308394274
2013,10,28665.330257586917,27531.43652468359,29390.7376292854
2013,11,28261.49752258417,27318.68472036113,28967.496146786234
2013,12,26783.533845849146,26215.1955231359,27529.262457852827
2014,1,27291.509099873172,26791.004293925824,28040.96628026858
2014,2,28596.97655401952,27626.363179158623,29479.980572017324
2014,3,28832.73862071188,27160.455711558407,29973.691903238087
2014,4,27697.077976376393,27147.917485647315,28322.0762235273
2014,5,27005.525610952234,25946.41262523867,27812.338935148695
2014,6,27056.116113938104,26033.50864218027,28145.235928367172
2014,7,27826.127304345257,27301.80228465735,28459.334543077206
2014,8,27854.91365633198,27301.12357101103,28423.355137195696
2014,9,26565.419293092647,26084.593092050767,27229.652357116778
2014,10,26513.313110945473,25443.632244092743,27088.865137974837
2014,11,25634.915209854422,24792.466460083702,26224.724610475376
2014,12,26612.82445731247,26003.743215157596,27022.412289130032
2015,1,27543.873929736736,26436.358815164556,28314.557690439284
2015,2,26871.22981472205,26316.562588792545,27988.839524388764
2015,3,26014.546632273526,25490.90077551825,26659.526774031678
2015,4,26573.4365142505,26248.64597498543,27108.574657172518
2015,5,27005.253588567768,26385.62808440844,27754.90518823454
2015,6,26639.716660455197,26334.390552168825,27196.155664792685
2015,7,25385.558613958605,24513.230168672933,26300.322342028296
2015,8,25726.67365638649,24504.352884335043,26932.60573638437
2015,9,26321.81476071091,25863.779550038438,26997.442077945045
2015,10,26682.080995185413,25820.63071491142,27243.731501434188
2015,11,25322.673510153694,24861.642717072507,26276.20600811567
2015,12,25179.59253144778,24686.225611440677,25621.759777733525
2016,1,26119.712487716377,25167.74732448315,26906.10396899572
2016,2,28992.81713718469,27063.103765975666,30053.332165417312
2016,3,29503.422621442984,28797.269051795647,30205.372161646927
