date,gold_inr_per_10g_landed,moving_avg_7d,moving_avg_30d,year_on_year_pct_change,day_30_rolling_volatility
2004-01-05,6503.72946907132,6503.72946907132,6503.72946907132,,
2004-01-06,6491.623628743425,6497.676548907372,6497.676548907372,,
2004-01-07,6456.469677284608,6483.940925033118,6483.940925033118,,0.2512993690391626
2004-01-08,6498.154987691673,6487.4944406977565,6487.4944406977565,,0.6093039856265621
2004-01-09,6517.199628634426,6493.4354782850905,6493.4354782850905,,0.5226549739469456
2004-01-12,6514.782066662491,6496.993243014657,6496.993243014657,,0.4544128482659012
2004-01-13,6472.6553399985605,6493.516399726644,6493.516399726644,,0.49252670046596264
2004-01-14,6445.552037587951,6485.205338086163,6487.520854459307,,0.4676131970004026
2004-01-15,6254.484519228881,6451.328322441228,6461.627928322593,,1.0924679199993699
2004-01-16,6226.560793341963,6418.484196163708,6438.12121482453,,1.0219787106338138
2004-01-20,6314.392524338667,6392.232415684707,6426.873152053088,,1.1336138302853742
2004-01-21,6288.29959661832,6359.532411110978,6415.325355766858,,1.0760909126787674
2004-01-22,6274.12177075191,6325.152368838038,6404.4635415349385,,1.0262406897914809
2004-01-23,6233.424570300609,6290.976544595471,6392.246472161058,,0.9874566093608236
2004-01-26,6212.29249440518,6257.653752712218,6380.249540310665,,0.9487292234376227
2004-01-27,6267.530973190599,6259.517531849606,6373.204629865661,,0.9662853341781905
2004-01-28,6330.62929153473,6274.384460162858,6370.700198199136,,0.9843314721852326
2004-01-29,6100.149006869399,6243.778243381535,6355.669576458595,,1.2725701705160593
2004-01-30,6119.476907710148,6219.660716394653,6343.238383366572,,1.245094498310946
2004-02-02,6090.754335450566,6193.46536849446,6330.6141809707715,,1.210434691807632
2004-02-03,6102.2519089334555,6174.7264168705815,6319.739787064233,,1.1840163026183694
2004-02-04,6128.543042792424,6162.762209497329,6311.049025960968,,1.1653450534820577
2004-02-05,6086.007808180927,6136.8303287816625,6301.264625187922,,1.1407478302154241
2004-02-06,6161.013963083936,6112.599567574407,6295.420847600257,,1.1591337414726626
2004-02-09,6210.6227899046935,6128.381536579448,6292.028925292434,,1.1531276895134475
2004-02-10,6203.765349646647,6140.422742570377,6288.634172382981,,1.1289484869056647
2004-02-11,6259.495889191419,6164.5286788190715,6287.55497670922,,1.126265731576616
2004-02-12,6311.94105723982,6194.4842714342685,6288.425908156742,,1.1203431479246848
2004-02-13,6283.901440649078,6216.678328270937,6288.269892035788,,1.1012714350453512
2004-02-17,6345.364771611817,6253.729323046777,6290.173054688322,,1.1003743040245075
2004-02-18,6287.618658242504,6271.81570806943,6282.969360994029,,1.0918287094903991
2004-02-19,6254.47481742063,6278.08028342885,6275.064400616601,,1.094455441676052
2004-02-20,6072.814336053709,6259.372995772715,6262.275889242239,,1.205384813548412
2004-02-23,6094.7267520114765,6235.834547604151,6248.8282813862315,,1.1996281627007277
2004-02-24,6179.806043794833,6216.95811711201,6237.581828558246,,1.2319254450046857
2004-02-25,6050.034103731808,6183.548497552397,6222.090229793889,,1.2808713736644266
2004-02-26,6047.743359666997,6141.03115298885,6207.926497116171,,1.2790013334502115
2004-02-27,6060.0250085761445,6108.517774465082,6195.0755961491095,,1.2806748289437686
2004-03-01,6099.211819446085,6086.337346183007,6189.8998394896835,,1.17715677169346
2004-03-02,6015.735153999606,6078.1831773181375,6182.872318178272,,1.1989761344610521
2004-03-03,5996.098613719081,6064.093443276365,6172.26252115762,,1.1645734572971531
2004-03-04,6013.335753183777,6040.31197318907,6163.097059709801,,1.1664614446035735
2004-03-05,6130.451845375148,6051.80022199526,6158.308062197241,,1.2270176430751958
2004-03-08,6118.994131853411,6061.978903736175,6154.493714249001,,1.2223939940139223
2004-03-09,6164.659284214639,6076.926657398822,6152.9059405759845,,1.2297194995206577
2004-03-10,6101.147929933026,6077.203244611243,6147.359839134066,,1.2308103558291992
2004-03-11,6120.961818895647,6092.235625310676,6140.37092337943,,1.2162146372926974
2004-03-12,6040.863991378884,6098.630679262074,6138.394756196412,,1.0448906821897965
2004-03-15,6100.278744508164,6111.051106594129,6137.754817423012,,1.059449855526354
2004-03-16,6141.129334144645,6112.576462132632,6139.433984046148,,1.0626399802095294
2004-03-17,6209.328599008281,6125.481386011898,6143.003207048642,,1.080477181946161
2004-03-18,6267.5489584331535,6140.179910900254,6147.63673757,,1.0903324269266095
2004-03-19,6279.913856299936,6165.717900381241,6154.1002725073,,1.080597367929471
2004-03-22,6348.532139133103,6198.227946129445,6160.350878375605,,1.0758832610756697
2004-03-23,6347.948954140365,6242.097226523944,6164.928417183461,,1.0678671454948585
2004-03-24,6289.834908182364,6269.176678477404,6167.797402467985,,1.082788835466963
2004-03-25,6283.058501606117,6289.452273829042,6168.582822881808,,1.0711785211275044
2004-03-26,6338.743721872829,6307.940148523975,6169.4762450362405,,1.0724921125732378
2004-03-29,6197.747223784908,6297.968472145656,6166.604437807434,,1.1457859160160844
2004-03-30,6240.149024708889,6292.287781918363,6163.097246244003,,1.1380128484106322
2004-03-31,6253.226329685913,6278.67266628305,6161.950835292116,,1.1271222385344533
2004-04-01,6265.556718870718,6266.902346958814,6162.320232007119,,1.1234612782780204
